"X","Family","ID","Sex","Treatment","Size","Eclosion","Censored","Lifespan","Activity","Block","Assay","Trial.Date","Chamber","StartTime","Session","age_at_flight","total_distance","total_duration","total_avg_speed","total_peak_speed","marathon_flights","long_flights","medium_flights","short_flights","skip_flights","trial_length"
300,"xL","xL6","F","B",4.933333333,"06/03/2022",1,69,"Flight","C","1","25/03/2022","F","10:20","31",19,2822.16,4102.816625,0.687859161,2.193665818,0,0,2,1,1,14399.99035
301,"xAI","xAI12","F","B",5.153333333,"27/03/2022",1,69,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,"xQ","xQ7","M","B",4.563333333,"09/03/2022",1,69,"Waiting","D","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,"xP","xP8","F","B",4.263333333,"06/03/2022",1,69,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,"xS","xS3","M","A",4.116666667,"09/03/2022",1,69,"Waiting","D","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,"xQ","xQ15","M","A",4.093333333,"09/03/2022",1,69,"Waiting","D","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,"xQ","xQ16","F","A",3.563333333,"09/03/2022",1,69,"Waiting","D","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,"xAX","xAX9","M","A",4.193333333,"02/06/2022",1,68,"Flight","G","1","12/06/2022","G","09:20","54",10,0,0,NA,NA,0,0,0,0,0,14399.97932
308,"xD","xD4","F","B",5.253333333,"28/02/2022",1,68,"Flight","B","1","18/03/2022","C","09:12","18",18,1818.08,4239.920854,0.428800457,1.477928507,0,0,1,12,10,14399.99413
309,"xAI","xAI8","M","A",4.27,"25/03/2022",1,68,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,"xBF","xBF7","F","A",4.106666667,"02/06/2022",1,68,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,"xBC","xBC2","F","A",4.026666667,"02/06/2022",1,68,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,"xBA","xBA5","F","A",3.85,"02/06/2022",1,68,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,"xAK","xAK5","M","A",3.82,"25/03/2022",1,68,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,"xBE","xBE8","F","B",5.066666667,"03/06/2022",1,67,"Flight","G","1","20/06/2022","D","10:00","63",17,830.72,1294.146276,0.641905799,1.643968681,0,0,0,6,4,14399.2411
315,"xAJ","xAJ3","F","A",3.793333333,"25/03/2022",1,67,"Flight","F","1","09/04/2022","E","12:50","53",15,596.64,717.4972501,0.831557194,1.454694458,0,0,0,3,3,14399.99505
316,"xAH","xAH3","F","A",4.013333333,"25/03/2022",1,67,"Flight","F","1","08/04/2022","F","09:40","51",14,5759.6,13303.66652,0.432933281,1.347403737,0,0,5,14,15,14399.98694
317,"xAF","xAF2","M","A",4.013333333,"15/03/2022",1,67,"Flight","E","1","01/04/2022","C","13:30","43",17,7008.32,13739.69341,0.51007834,1.245642269,0,1,4,1,2,14399.99845
318,"xAD","xAD10","F","B",5.416666667,"15/03/2022",1,67,"Flight","E","1","31/03/2022","G","11:30","40",16,5666.32,6922.790283,0.818502333,1.930244019,0,0,0,34,69,14399.96623
319,"xI","xI10","F","B",5.503333333,"06/03/2022",1,67,"Flight","C","1","23/03/2022","F","08:47","27",17,3995.2,4768.433509,0.837843286,1.676001413,0,1,0,0,0,14399.58746
320,"xO","xO6","M","B",4.75,"06/03/2022",1,67,"Flight","C","1","20/03/2022","F","12:56","23",14,7720.24,13967.10323,0.552744537,1.570357673,0,0,7,9,6,14399.98775
321,"xBG","xBG13","M","B",5.463333333,"03/06/2022",1,67,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,"xBB","xBB10","M","B",5.153333333,"03/06/2022",1,67,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,"xAA","xAA3","M","A",3.94,"15/03/2022",1,66,"Flight","E","1","30/03/2022","G","08:50","37b",15,7046.16,9463.713449,0.744544944,1.616821094,0,0,2,32,13,14399.98255
324,"xO","xO3","F","A",4.2,"06/03/2022",1,66,"Flight","C","1","24/03/2022","B","09:15","29",18,1792.56,2883.231954,0.62171897,1.501927169,0,0,2,3,8,14398.99197
325,"xP","xP6","F","B",4.333333333,"06/03/2022",1,66,"Flight","C","1","23/03/2022","B","13:25","28",17,103.84,525.1610348,0.197729826,1.16321185,0,0,0,4,8,14399.99537
326,"xAK","xAK9","M","B",5.603333333,"27/03/2022",1,66,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,"xAH","xAH13","F","B",5.143333333,"27/03/2022",1,66,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,"xS","xS11","M","B",4.973333333,"09/03/2022",1,66,"Waiting","D","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,"xS","xS6","M","A",3.623333333,"09/03/2022",1,66,"Waiting","D","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,"xBG","xBG2","F","A",4.433333333,"02/06/2022",1,65,"Flight","G","1","21/06/2022","D","11:49","65",19,4347.2,4802.881038,0.905123397,1.944106624,0,0,0,24,32,14397.57499
331,"xBG","xBG8","F","A",4.306666667,"02/06/2022",1,65,"Flight","G","1","21/06/2022","E","11:49","65",19,236.72,620.4831953,0.381509124,1.167853673,0,0,0,4,15,14397.57499
332,"xBF","xBF9","F","A",4.226666667,"02/06/2022",1,65,"Flight","G","1","21/06/2022","C","07:25","64",19,10112.08,13125.84791,0.770394421,1.628423305,0,1,3,2,2,14399.99128
333,"xBA","xBA2","F","A",3.663333333,"02/06/2022",1,65,"Flight","G","1","21/06/2022","E","07:25","64",19,5096.96,7134.494003,0.714410861,1.556755998,0,0,3,15,20,14399.99128
334,"xBI","xBI4","F","A",4.41,"02/06/2022",1,65,"Flight","G","1","17/06/2022","C","15:55","60",15,4681.6,6305.329028,0.742483061,1.572855734,0,0,5,6,9,14399.26906
335,"xAW","xAW11","M","A",4.273333333,"02/06/2022",1,65,"Flight","G","1","12/06/2022","F","09:20","54",10,860.64,1067.092807,0.806527787,1.455428685,0,0,0,2,22,14399.97932
336,"xAG","xAG13","F","B",5.556666667,"27/03/2022",1,65,"Flight","F","1","09/04/2022","C","12:50","53",13,3762,7376.72892,0.50998214,1.852911893,0,0,1,34,21,14399.99505
337,"xAH","xAH17","F","B",5.186666667,"27/03/2022",1,65,"Flight","F","1","05/04/2022","B","14:25","48",9,2086.48,2669.039796,0.781734316,1.617210012,0,0,1,2,10,14399.99508
338,"xAJ","xAJ9","M","B",5.776666667,"27/03/2022",1,65,"Flight","F","1","05/04/2022","B","11:55","46b",9,243.76,410.1200068,0.594362616,1.365751138,0,0,0,2,2,14399.99504
339,"xL","xL7","M","A",4.143333333,"06/03/2022",0,65,"Flight","C","1","25/03/2022","G","10:20","31",19,315.92,907.8015728,0.348005566,0.819436978,0,0,0,5,11,14399.99035
340,"xN","xN5","M","B",5.476666667,"06/03/2022",1,65,"Flight","C","1","24/03/2022","C","14:16","30",18,5514.96,12191.19026,0.452372564,1.77335373,0,0,5,20,14,14399.99717
341,"xG","xG1","M","B",5.43,"28/02/2022",1,65,"Flight","B","1","20/03/2022","B","08:38","22",20,1669.36,3768.549511,0.442971492,1.200174001,0,0,0,19,12,14399.97864
342,"xD","xD13","M","A",4.466666667,"28/02/2022",1,65,"Flight","B","1","15/03/2022","F","14:00","14",15,170.72,422.9469657,0.403643988,1.593744314,0,0,0,0,21,14399.98205
343,"xH","xH7","M","B",5.173333333,"28/02/2022",1,65,"Flight","B","1","12/03/2022","F","13:15","11",12,471.68,984.6777294,0.479019669,1.488842926,0,0,0,4,9,11203.84677
344,"xD","xD1","M","B",5.333333333,"28/02/2022",1,65,"Waiting","B","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,"xBK","xBK13","F","A",5.176666667,"02/06/2022",1,65,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,"xBF","xBF4","M","A",4.37,"02/06/2022",1,65,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,"xBG","xBG5","M","A",4.286666667,"02/06/2022",1,65,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,"xBH","xBH6","F","A",4.243333333,"02/06/2022",1,65,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,"xBI","xBI2","F","A",4.23,"02/06/2022",1,65,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,"xBH","xBH5","M","A",4.213333333,"02/06/2022",1,65,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,"xAX","xAX6","F","A",4.146666667,"02/06/2022",1,65,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,"xBH","xBH8","M","A",4.106666667,"02/06/2022",1,65,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,"xD","xD9","M","A",3.876666667,"28/02/2022",1,65,"Waiting","B","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,"xBI","xBI9","M","B",5.396666667,"03/06/2022",1,64,"Flight","G","1","22/06/2022","F","16:55","69",19,8881.84,13041.10167,0.681065161,1.35595128,0,1,4,4,0,14397.36433
355,"xBG","xBG9","M","B",5.65,"03/06/2022",1,64,"Flight","G","1","22/06/2022","A","12:11","68",19,740.96,682.9873011,1.084881079,2.356982541,0,0,0,3,1,2584.229058
356,"xBD","xBD8","M","B",5.076666667,"03/06/2022",1,64,"Flight","G","1","22/06/2022","F","12:11","68",19,335.28,402.7305095,0.832517011,1.908296761,0,0,0,2,6,2584.229058
357,"xBE","xBE10","F","A",4.95,"03/06/2022",1,64,"Flight","G","1","21/06/2022","A","16:25","66",18,2030.16,2536.252375,0.800456619,1.793996202,0,0,0,10,12,14399.9741
358,"xBJ","xBJ11","M","B",5.193333333,"03/06/2022",1,64,"Flight","G","1","19/06/2022","F","14:45","62",16,4728.24,11144.84322,0.424253613,1.873449372,0,0,1,47,39,14399.99936
359,"xBJ","xBJ2","F","A",4.26,"03/06/2022",1,64,"Flight","G","1","14/06/2022","A","11:25","56",11,5976.08,7315.166322,0.816943831,1.792092103,0,1,0,4,7,14399.59146
360,"xAG","xAG5","M","A",4.16,"25/03/2022",1,64,"Flight","F","1","08/04/2022","F","14:28","52",14,4581.28,8369.355025,0.547387461,1.435811509,0,0,2,24,57,14399.63525
361,"xE","xE6","F","B",5.666666667,"28/02/2022",1,64,"Flight","B","1","16/03/2022","F","10:11","15",16,4894.56,11966.66313,0.409016277,1.212779446,0,0,1,46,14,14399.99573
362,"xAX","xAX19","M","B",5.526666667,"03/06/2022",1,64,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,"xBC","xBC10","F","B",5.463333333,"03/06/2022",1,64,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,"xBI","xBI18","F","B",5.183333333,"03/06/2022",1,64,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,"xBD","xBD9","F","B",4.95,"03/06/2022",1,64,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,"xAY","xAY2","M","A",4.203333333,"03/06/2022",1,64,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,"xAI","xAI1","F","A",4.243333333,"25/03/2022",1,63,"Flight","F","1","09/04/2022","A","12:50","53",15,13072.4,13692.39413,0.954719816,1.87614433,1,1,0,3,0,14399.99505
368,"xAA","xAA8","F","B",5.406666667,"15/03/2022",1,63,"Flight","E","1","30/03/2022","E","13:21","39",15,1703.68,2686.034741,0.634273256,1.681410768,0,0,0,12,9,5114.932245
369,"xP","xP5","F","B",5.096666667,"06/03/2022",1,63,"Flight","C","1","23/03/2022","E","13:25","28",17,14.08,74.59981275,0.18874042,0.387468193,0,0,0,0,3,14399.99537
370,"xAF","xAF5","F","A",4.72,"15/03/2022",1,63,"Waiting","E","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,"xBE","xBE6","F","B",5.403333333,"03/06/2022",1,62,"Flight","G","1","21/06/2022","B","16:25","66",18,1528.56,1857.460528,0.822930004,1.648999772,0,0,1,2,7,14399.9741
372,"xAK","xAK16","F","B",5.436666667,"27/03/2022",1,62,"Flight","F","1","08/04/2022","B","14:28","52",12,3843.84,9232.836036,0.416322784,2.17600498,0,0,2,32,19,14399.63525
373,"xAI","xAI16","M","B",5.35,"27/03/2022",1,62,"Flight","F","1","07/04/2022","C","09:43","50",11,9531.28,11722.23336,0.813094204,1.559520574,0,0,6,19,8,14399.99207
374,"xAH","xAH16","M","B",4.463333333,"27/03/2022",1,62,"Flight","F","1","05/04/2022","A","14:25","48",9,887.04,1993.668968,0.444928428,1.488386641,0,0,1,7,17,14399.99508
375,"xL","xL2","F","B",5.05,"06/03/2022",1,62,"Flight","C","1","25/03/2022","B","10:20","31",19,9173.12,13958.31516,0.657179602,1.549440596,1,0,4,6,3,14399.99035
376,"xF","xF7","F","B",5.06,"28/02/2022",1,62,"Flight","B","1","18/03/2022","B","14:10","19",18,1181.84,2042.642221,0.578583948,2.966888671,0,0,0,10,3,14399.99859
377,"xH","xH12","F","B",4.613333333,"28/02/2022",1,62,"Flight","B","1","12/03/2022","B","08:38","10",12,6603.52,12150.12372,0.543494054,1.154470459,0,1,3,2,0,14399.93318
378,"xAJ","xAJ12","F","B",5.29,"27/03/2022",1,62,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,"xAH","xAH11","F","B",5.23,"27/03/2022",1,62,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,"xBC","xBC3","M","A",3.87,"02/06/2022",1,61,"Flight","G","1","21/06/2022","B","07:25","64",19,133.76,542.9080718,0.246376886,1.250170631,0,0,0,3,12,14399.99128
381,"xBH","xBH2","M","A",3.916666667,"02/06/2022",1,61,"Flight","G","1","15/06/2022","D","15:35","58",13,1449.36,2002.604524,0.723737504,1.822730589,0,0,1,4,18,14399.76479
382,"xBG","xBG6","F","A",4.17,"02/06/2022",1,61,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,"xAJ","xAJ1","M","A",4.116666667,"25/03/2022",1,61,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,"xBE","xBE7","M","B",5.266666667,"03/06/2022",1,60,"Flight","G","1","20/06/2022","B","10:00","63",17,0,0,NA,NA,0,0,0,0,0,14399.2411
385,"xBF","xBF12","F","B",5.246666667,"03/06/2022",1,60,"Flight","G","1","15/06/2022","E","15:35","58",12,5331.92,8565.343674,0.622499248,2.148259834,0,0,1,44,16,14399.76479
386,"xBE","xBE3","F","B",4.84,"03/06/2022",1,60,"Flight","G","1","15/06/2022","B","09:53","57",12,222.64,206.4718111,1.078307004,1.675143402,0,0,0,1,0,14399.93202
387,"xAD","xAD4","F","A",4.8,"15/03/2022",1,60,"Flight","E","1","30/03/2022","A","13:21","39",15,314.16,374.5391529,0.838790812,1.680300097,0,0,0,1,1,5114.932245
388,"xAD","xAD11","F","B",5.423333333,"15/03/2022",1,60,"Waiting","E","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,"xBD","xBD10","F","B",5.053333333,"03/06/2022",1,60,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,"xBI","xBI7","M","A",4.306666667,"02/06/2022",1,59,"Flight","G","1","21/06/2022","G","16:25","66",19,574.64,780.1705141,0.736556932,1.709790271,0,0,0,3,0,14399.9741
391,"xBC","xBC1","M","A",3.763333333,"02/06/2022",1,59,"Flight","G","1","21/06/2022","A","07:25","64",19,231.44,630.4564013,0.367099136,1.161913755,0,0,0,4,9,14399.99128
392,"xAW","xAW4","M","B",5.343333333,"02/06/2022",1,59,"Flight","G","1","17/06/2022","B","10:36","59",15,2150.72,3069.247652,0.700731985,1.54887297,0,0,1,14,8,14399.98123
393,"xAW","xAW13","F","A",4.13,"02/06/2022",1,59,"Flight","G","1","12/06/2022","A","13:57","55",10,14334.32,14381.97512,0.996686469,1.698019103,1,0,1,0,0,14399.99663
394,"xAG","xAG14","M","B",5.803333333,"27/03/2022",1,59,"Flight","F","1","09/04/2022","B","12:50","53",13,3624.72,6054.280277,0.5987037,2.141995155,0,0,4,11,8,14399.99505
395,"xAI","xAI11","M","B",5.263333333,"27/03/2022",1,59,"Flight","F","1","08/04/2022","A","09:40","51",12,1381.6,1850.1064,0.746767861,2.006141564,0,0,1,7,20,14399.98694
396,"xAI","xAI18","M","B",5.23,"27/03/2022",1,59,"Flight","F","1","07/04/2022","A","09:43","50",11,11455.84,11913.83604,0.961557634,1.832698774,0,1,3,4,0,14399.99207
397,"xK","xK14","F","B",5.33,"06/03/2022",1,59,"Flight","C","1","22/03/2022","C","09:04","24",16,1313.84,1954.204123,0.672314619,2.350784258,0,0,1,4,17,14399.99524
398,"xBK","xBK12","F","A",5.533333333,"02/06/2022",1,59,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,"xAW","xAW6","M","B",5.303333333,"02/06/2022",1,59,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"xT","xT1","M","B",5.176666667,"09/03/2022",1,59,"Waiting","D","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,"xAI","xAI14","M","B",5.143333333,"27/03/2022",1,59,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402,"xQ","xQ2","F","B",4.95,"09/03/2022",1,59,"Waiting","D","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,"xBA","xBA6","F","A",3.886666667,"02/06/2022",1,59,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,"xBI","xBI15","M","B",5.653333333,"03/06/2022",1,58,"Flight","G","1","22/06/2022","C","16:55","69",19,704.88,663.618839,1.062175994,1.646724996,0,0,1,0,3,14397.36433
405,"xBI","xBI13","M","B",5.226666667,"03/06/2022",1,58,"Flight","G","1","22/06/2022","D","16:55","69",19,3222.56,3210.320034,1.003812693,2.130472099,0,0,1,11,45,14397.36433
406,"xBB","xBB8","M","B",5.506666667,"03/06/2022",1,58,"Flight","G","1","22/06/2022","C","07:27","67",19,15629.68,14383.80283,1.086616674,1.70621382,1,1,0,0,0,14399.98386
407,"xBA","xBA7","F","B",4.866666667,"03/06/2022",1,58,"Flight","G","1","22/06/2022","F","07:27","67",19,3175.92,5181.835488,0.612894795,1.722678819,0,0,3,10,16,14399.98386
408,"xBH","xBH10","M","B",5.006666667,"03/06/2022",1,58,"Flight","G","1","17/06/2022","E","15:55","60",14,1063.04,1701.658145,0.62470832,1.703369702,0,0,1,4,24,14399.26906
409,"xAZ","xAZ5","F","B",NA,"03/06/2022",1,58,"Flight","G","1","17/06/2022","D","10:36","59",14,191.84,436.0325389,0.439967165,0.984175944,0,0,0,2,9,14399.98123
410,"xBC","xBC8","F","B",5.353333333,"03/06/2022",1,58,"Flight","G","1","17/06/2022","G","10:36","59",14,1026.08,1351.757106,0.759071283,2.032421679,0,0,0,8,16,14399.98123
411,"xBJ","xBJ12","F","B",3.916666667,"03/06/2022",1,58,"Flight","G","1","14/06/2022","D","11:25","56",11,6042.96,13373.25667,0.451868991,1.102940633,1,0,3,0,0,14399.59146
412,"xBB","xBB11","F","B",5.573333333,"03/06/2022",1,58,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,"xBE","xBE2","F","B",5.406666667,"03/06/2022",1,58,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"xBI","xBI10","F","B",5.246666667,"03/06/2022",1,58,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,"xBE","xBE5","F","B",5.086666667,"03/06/2022",1,58,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,"xBJ","xBJ8","F","B",4.823333333,"03/06/2022",1,58,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,"xAG","xAG2","F","A",4.24,"25/03/2022",1,57,"Flight","F","1","06/04/2022","D","09:40","49",12,3980.24,9723.411065,0.409346059,1.995310664,0,0,4,17,42,13246.21065
418,"xZ","xZ3","F","B",5.19,"15/03/2022",1,57,"Flight","E","1","29/03/2022","C","09:30","36",14,0,0,NA,NA,0,0,0,0,0,14399.98541
419,"xAH","xAH6","F","A",4.38,"25/03/2022",1,57,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,"xAK","xAK6","F","A",4.02,"25/03/2022",1,57,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421,"xN","xN11","F","A",4.223333333,"06/03/2022",1,56,"Flight","C","1","24/03/2022","D","14:16","30",18,0,0,NA,NA,0,0,0,0,0,14399.99717
422,"xQ","xQ11","M","A",4.506666667,"09/03/2022",1,56,"Waiting","D","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,"xT","xT14","M","A",3.853333333,"09/03/2022",1,56,"Waiting","D","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424,"xBG","xBG7","M","A",4.16,"02/06/2022",1,55,"Flight","G","1","21/06/2022","A","11:49","65",19,300.96,321.7487741,0.935388179,1.641812913,0,0,0,2,1,14397.57499
425,"xAW","xAW8","M","A",4.163333333,"02/06/2022",1,55,"Flight","G","1","20/06/2022","C","10:00","63",18,2388.32,4952.072701,0.482286942,1.424764396,0,0,3,7,15,14399.2411
426,"xAW","xAW5","F","B",5.316666667,"02/06/2022",1,55,"Flight","G","1","12/06/2022","B","13:57","55",10,9154.64,13401.59657,0.6831007,1.913492589,1,0,1,8,9,14399.99663
427,"xAK","xAK17","M","B",5.446666667,"27/03/2022",1,55,"Flight","F","1","08/04/2022","A","14:28","52",12,11498.96,13530.81371,0.849835069,1.856536439,1,0,0,2,20,14399.63525
428,"xAF","xAF9","M","B",5.356666667,"17/03/2022",1,55,"Flight","E","1","01/04/2022","G","13:30","43",15,7535.44,7495.290505,1.00535663,2.029398903,0,0,2,16,22,14399.99845
429,"xAF","xAF6","F","B",5.06,"17/03/2022",1,55,"Flight","E","1","01/04/2022","B","08:50","42",15,976.8,1165.635221,0.837998014,1.741508299,0,0,0,4,1,14396.58945
430,"xH","xH8","F","B",5.226666667,"28/02/2022",1,55,"Flight","B","1","12/03/2022","E","13:15","11",12,30.8,90.87823224,0.338915043,1.015789657,0,0,0,0,3,11203.84677
431,"xBI","xBI11","M","B",4.923333333,"03/06/2022",1,54,"Flight","G","1","22/06/2022","E","16:55","69",19,271.92,247.6983871,1.09778672,1.47306,0,0,0,1,1,14397.36433
432,"xBH","xBH15","F","B",5.09,"03/06/2022",1,54,"Flight","G","1","22/06/2022","E","12:11","68",19,572,1219.703043,0.468966609,1.563729951,0,0,1,5,6,2584.229058
433,"xAX","xAX17","M","B",5.34,"03/06/2022",1,54,"Flight","G","1","21/06/2022","C","16:25","66",18,941.6,1357.314642,0.693722716,2.837841542,0,0,0,6,24,14399.9741
434,"xBJ","xBJ10","F","B",5.263333333,"03/06/2022",1,54,"Flight","G","1","21/06/2022","G","11:49","65",18,13037.2,11503.78907,1.133296162,2.148212322,0,1,4,2,3,14397.57499
435,"xAY","xAY6","F","B",5.063333333,"03/06/2022",1,54,"Flight","G","1","17/06/2022","E","10:36","59",14,259.6,564.5486205,0.459836391,1.791304993,0,0,0,1,17,14399.98123
436,"xBB","xBB9","F","B",5.353333333,"03/06/2022",1,54,"Flight","G","1","15/06/2022","B","15:35","58",12,1339.36,1642.847247,0.815267519,1.710743617,0,0,1,3,9,14399.76479
437,"xBB","xBB7","F","B",5.24,"03/06/2022",1,54,"Flight","G","1","15/06/2022","F","09:53","57",12,12114.08,11862.39599,1.021216962,1.73558359,0,2,0,3,15,14399.93202
438,"xBJ","xBJ1","M","A",4.66,"03/06/2022",1,54,"Flight","G","1","14/06/2022","B","11:25","56",11,11344.96,13960.66822,0.81263732,1.734188349,1,0,2,8,0,14399.59146
439,"xBG","xBG16","M","B",5.373333333,"03/06/2022",1,54,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"xBI","xBI17","M","B",5.326666667,"03/06/2022",1,54,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,"xBH","xBH12","M","B",5.176666667,"03/06/2022",1,54,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,"xBI","xBI14","F","B",5.11,"03/06/2022",1,54,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,"xAZ","xAZ6","F","B",4.896666667,"03/06/2022",1,54,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
444,"xAY","xAY5","F","B",4.736666667,"03/06/2022",1,54,"Waiting","G","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,"xAF","xAF3","F","A",4.77,"15/03/2022",1,53,"Flight","E","1","01/04/2022","B","13:30","43",17,4583.92,6580.520727,0.69658925,1.662390581,0,1,0,3,4,14399.99845
446,"xQ","xQ4","F","B",5.173333333,"09/03/2022",1,53,"Waiting","D","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,"xAA","xAA9","F","B",5.12,"15/03/2022",1,53,"Waiting","E","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448,"xQ","xQ6","F","B",5.08,"09/03/2022",1,53,"Waiting","D","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
449,"xQ","xQ8","F","B",4.846666667,"09/03/2022",1,53,"Waiting","D","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,"xAA","xAA5","M","A",4.313333333,"15/03/2022",1,53,"Waiting","E","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,"xP","xP4","M","B",5.226666667,"06/03/2022",1,52,"Flight","C","1","22/03/2022","F","13:25","26",16,6221.6,11167.76807,0.55710326,1.808950251,0,0,4,28,13,14399.99677
452,"xBG","xBG14","F","B",5.713333333,"03/06/2022",1,51,"Flight","G","1","22/06/2022","A","07:27","67",19,2520.32,2606.470852,0.966947318,2.230269972,0,0,1,8,14,14399.98386
