"X","Family","ID","Sex","Treatment","Size","Eclosion","Censored","Lifespan","Activity","Block","Assay","Trial.Date","Chamber","StartTime","Session","age_at_flight","total_distance","total_duration","total_avg_speed","total_peak_speed","marathon_flights","long_flights","medium_flights","short_flights","skip_flights","trial_length"
40,"xM","xM3","F","A",4.06,"06/03/2022",1,133,"Flight","C","1","24/03/2022","E","09:15","29",18,493.68,1704.63061,0.289611132,1.11455715,0,0,0,11,25,14398.99197
41,"xN","xN17","F","A",3.953333333,"06/03/2022",1,133,"Flight","C","1","22/03/2022","D","13:25","26",16,426.8,771.5635068,0.553162502,1.243089068,0,0,0,4,2,14399.99677
42,"xN","xN3","M","B",5.436666667,"06/03/2022",1,133,"Flight","C","1","22/03/2022","G","09:04","24",16,3006.96,3842.667059,0.782519004,2.120226327,0,0,1,13,31,14399.99524
43,"xI","xI13","M","B",5.486666667,"06/03/2022",1,133,"Flight","C","1","17/03/2022","D","09:11","16",11,465.52,621.5160136,0.74900725,1.789854348,0,0,0,4,6,14394.37635
44,"xK","xK15","M","B",5.496666667,"06/03/2022",1,133,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"xK","xK12","F","B",5.46,"06/03/2022",1,133,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"xBI","xBI16","F","B",5.266666667,"03/06/2022",1,130,"Flight","G","1","22/06/2022","B","16:55","69",19,11591.36,12942.5681,0.895599692,1.719179616,0,0,8,9,7,14397.36433
47,"xM","xM11","M","B",5.226666667,"06/03/2022",1,129,"Flight","C","1","26/03/2022","C","13:36","34",20,7772.16,13195.59377,0.58899661,1.593636967,0,0,8,8,0,14399.98624
48,"xL","xL4","F","B",4.75,"06/03/2022",1,129,"Flight","C","1","25/03/2022","E","10:20","31",19,7105.12,13247.8947,0.536320688,1.715355725,0,1,5,9,7,14399.99035
49,"xI","xI8","F","B",5.143333333,"06/03/2022",1,129,"Flight","C","1","18/03/2022","D","09:12","18",12,4257.44,8449.595803,0.503863155,1.766330366,0,0,3,32,33,14399.99413
50,"xI","xI6","F","A",4.476666667,"06/03/2022",1,129,"Flight","C","1","17/03/2022","B","14:48","17",11,3864.08,12281.06768,0.314637139,2.276943888,0,0,6,24,21,14399.99762
51,"xK","xK1","M","A",4.34,"06/03/2022",1,129,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"xAX","xAX1","M","A",4.003333333,"02/06/2022",1,128,"Flight","G","1","12/06/2022","C","13:57","55",10,8426.88,10733.16065,0.785125675,1.527586889,1,0,1,10,10,14399.99663
53,"xD","xD5","M","B",5.5,"28/02/2022",1,128,"Flight","B","1","18/03/2022","F","09:12","18",18,10.56,40.50226712,0.260726146,0.775058024,0,0,0,0,2,14399.99413
54,"xAD","xAD5","F","A",4.816666667,"15/03/2022",1,127,"Waiting","E","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"xQ","xQ10","F","A",4.883333333,"09/03/2022",1,126,"Flight","D","1","29/03/2022","A","14:15","37",20,11674.96,10657.14686,1.095505218,2.059019198,0,1,4,8,3,14399.98732
56,"xAI","xAI15","F","B",5.183333333,"27/03/2022",1,126,"Waiting","F","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"xP","xP13","F","A",3.77,"06/03/2022",1,125,"Flight","C","1","26/03/2022","C","09:02","33",20,195.36,366.499624,0.533042839,0.996308039,0,0,0,1,1,14399.99041
58,"xM","xM2","M","A",3.846666667,"06/03/2022",1,125,"Flight","C","1","24/03/2022","F","09:15","29",18,0,0,NA,NA,0,0,0,0,0,14398.99197
59,"xH","xH4","M","A",4.123333333,"28/02/2022",1,125,"Flight","B","1","15/03/2022","E","14:00","14",15,138.16,260.4454968,0.530475672,1.05912695,0,0,0,2,3,14399.98205
60,"xN","xN9","M","B",5.45,"06/03/2022",1,125,"Waiting","C","0","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
