Family,ID,Sex,Treatment,Weight,Size,Eclosion,LastObserved,Death/Removal,Censored,Notes,Lifespan,1st.Trial,1st.Chamber,1st.StartTime,1st.Session,1st.Comments,2nd.Trial,2nd.Chamber,2nd.StartTime,2nd.Session,2nd.Comments,3rd.Trial,3rd.Chamber,3rd.StartTime,3rd.Session,3rd.Comments,Activity,Block
xD,7,M,B,0.2414,5.656666667,28/02/2022,09/07/2022,13/07/2022,1,,135,19/03/2022,E,13:50,21,,03/05/2022,B,15:22,113,,03/06/2022,B,13:01,204,,Flight,B
xD,2,F,B,0.1601,5.036666667,28/02/2022,09/07/2022,13/07/2022,1,,135,,,,,,,,,,,,,,,,Waiting,B
xC,2,F,A,0.113,4.693333333,28/02/2022,09/07/2022,13/07/2022,1,,135,,,,,,01/05/2022,A,10:09,110,,03/06/2022,C,08:42,203,,Flight,B
xV,5,F,A,,4.653333333,15/03/2022,24/07/2022,27/07/2022,1,,134,27/03/2022,F,08:44,35,,20/05/2022,D,12:53,132,,,,,,,Flight,E
xV,14,F,B,,5.623333333,15/03/2022,24/07/2022,27/07/2022,1,,134,,,,,,,,,,,,,,,,Waiting,E
xM,3,F,A,0.1039,4.06,06/03/2022,13/07/2022,17/07/2022,1,,133,24/03/2022,E,09:15,29,,08/05/2022,C,13:00,121,,08/06/2022,G ,14:49,209,,Flight,C
xN,17,F,A,0.1129,3.953333333,06/03/2022,13/07/2022,17/07/2022,1,,133,22/03/2022,D,13:25,26,,07/05/2022,G,08:37,119,,09/06/2022,C,11:29,210,,Flight,C
xN,3,M,B,0.2765,5.436666667,06/03/2022,13/07/2022,17/07/2022,1,,133,22/03/2022,G,09:04,24,,11/05/2022,D,09:10,124,,09/06/2022,G,11:29,210,,Flight,C
xI,13,M,B,0.2226,5.486666667,06/03/2022,13/07/2022,17/07/2022,1,,133,17/03/2022,D,09:11,16,,05/05/2022,A,12:47,116,,04/06/2022,E,10:16,205,,Flight,C
xK,15,M,B,0.254,5.496666667,06/03/2022,13/07/2022,17/07/2022,1,,133,,,,,,,,,,,,,,,,Waiting,C
xK,12,F,B,0.2143,5.46,06/03/2022,13/07/2022,17/07/2022,1,,133,,,,,,,,,,,,,,,,Waiting,C
D1AE,13,M,B,0.2695,5.933333333,21/02/2022,29/06/2022,03/07/2022,1,,132,09/03/2022,D,13:25,6,,23/04/2022,C,11:47,102,,,,,,,Flight,A
D1AD,2,F,A,0.1078,4.27,18/02/2022,26/06/2022,29/06/2022,1,,131,10/03/2022,A ,09:25,6B,,20/04/2022,E,10:30,101,,,,,,,Flight,A
xA,2,M,B,0.2615,5.693333333,28/02/2022,06/07/2022,09/07/2022,1,,131,19/03/2022,G,09:17,20,,30/04/2022,A,10:30,108,,02/06/2022,D,,202,,Flight,B
xBI,16,F,B,,5.266666667,03/06/2022,08/10/2022,11/10/2022,1,,130,22/06/2022,B,16:55,69,,03/08/2022,B,12:53,153,,01/09/2022,D,13:24,222,,Flight,G
xR,10,F,A,,4.78,09/03/2022,13/07/2022,17/07/2022,1,,130,29/03/2022,B,14:15,37,,10/05/2022,B,11:12,122,,08/06/2022,B,10:09,208,,Flight,D
xW,6,M,B,,5.776666667,17/03/2022,20/07/2022,24/07/2022,1,,129,01/04/2022,F,08:50,42,,21/05/2022,B,11:44,133,,16/06/2022,B,15:00,214,,Flight,E
xM,11,M,B,0.2029,5.226666667,06/03/2022,09/07/2022,13/07/2022,1,,129,26/03/2022,C,13:36,34,,06/05/2022,D,09:47,117,,04/06/2022,G,10:16,205,,Flight,C
xL,4,F,B,0.1633,4.75,06/03/2022,09/07/2022,13/07/2022,1,,129,25/03/2022,E,10:20,31,,06/05/2022,B,09:47,117,,11/06/2022,D,13:53,212,,Flight,C
xI,8,F,B,0.1803,5.143333333,06/03/2022,09/07/2022,13/07/2022,1,,129,18/03/2022,D,09:12,18,,06/05/2022,C,14:25,118,,09/06/2022,F,11:29,210,,Flight,C
xI,6,F,A,0.1165,4.476666667,06/03/2022,09/07/2022,13/07/2022,1,,129,17/03/2022,B,14:48,17,,10/05/2022,E,15:50,123,,04/06/2022,B,14:54,206,,Flight,C
xK,1,M,A,0.1174,4.34,06/03/2022,09/07/2022,13/07/2022,1,,129,,,,,,,,,,,,,,,,Waiting,C
xAX,1,M,A,,4.003333333,02/06/2022,04/10/2022,08/10/2022,1,,128,12/06/2022,C,13:57,55,,10/08/2022,D,13:38,156,,31/08/2022,B,13:41,220,,Flight,G
xD,5,M,B,0.2221,5.5,28/02/2022,03/07/2022,06/07/2022,1,,128,18/03/2022,F,09:12,18,,29/04/2022,B,14:37,107,,03/06/2022,D,13:01,204,,Flight,B
xV,11,M,B,,5.423333333,15/03/2022,17/07/2022,20/07/2022,1,,127,03/04/2022,F,10:16,46,,17/05/2022,A,,129,SHORT,,,,,,Flight,E
xAD,5,F,A,,4.816666667,15/03/2022,17/07/2022,20/07/2022,1,,127,,,,,,,,,,,,,,,,Waiting,E
xQ,10,F,A,,4.883333333,09/03/2022,09/07/2022,13/07/2022,1,,126,29/03/2022,A,14:15,37,,11/05/2022,A,09:10,124,,08/06/2022,A,14:49,209,,Flight,D
xAI,15,F,B,,5.183333333,27/03/2022,27/07/2022,31/07/2022,1,,126,,,,,,,,,,,,,,,,Waiting,F
xP,13,F,A,0.1041,3.77,06/03/2022,06/07/2022,09/07/2022,1,,125,26/03/2022,C,09:02,33,,06/05/2022,C,09:47,117,,11/06/2022,C,13:53,212,,Flight,C
xM,2,M,A,0.0808,3.846666667,06/03/2022,06/07/2022,09/07/2022,1,,125,24/03/2022,F,09:15,29,,07/05/2022,D,13:24,120,,04/06/2022,E,14:54,206,,Flight,C
xH,4,M,A,0.0822,4.123333333,28/02/2022,29/06/2022,03/07/2022,1,,125,15/03/2022,E,14:00,14,,03/05/2022,A,15:22,113,,01/06/2022,D,,201,,Flight,B
D1AD,18,F,B,0.1987,5.26,21/02/2022,22/06/2022,26/06/2022,1,,125,09/03/2022,F,13:25,6,,26/04/2022,G,10:00,104,,,,,,,Flight,A
xN,9,M,B,0.2572,5.45,06/03/2022,06/07/2022,09/07/2022,1,,125,,,,,,,,,,,,,,,,Waiting,C
xK,17,M,B,0.2516,5.366666667,06/03/2022,06/07/2022,09/07/2022,1,,125,,,,,,,,,,,,,,,,Waiting,C
xF,9,M,B,0.1602,4.826666667,28/02/2022,29/06/2022,03/07/2022,1,,125,,,,,,,,,,,,,,,,Waiting,B
xAA,1,F,A,,4.426666667,15/03/2022,13/07/2022,17/07/2022,1,,124,30/03/2022,D,13:21,39,SHORT,14/05/2022,F,14:20,128,,16/06/2022,G,15:00,214,,Flight,E
xAE,17,F,A,,4.88,15/03/2022,13/07/2022,17/07/2022,1,,124,30/03/2022,B,08:50,37b,,20/05/2022,A,12:53,132,,16/06/2022,E,15:00,214,,Flight,E
xX,6,F,A,,5.013333333,15/03/2022,13/07/2022,17/07/2022,1,,124,29/03/2022,A,09:30,36,,19/05/2022,C,09:33,131,,16/06/2022,E,10:30,213,,Flight,E
D1AB,5,F,A,0.1097,4.156666667,18/02/2022,19/06/2022,22/06/2022,1,,124,12/03/2022,G,08:38,10,,20/04/2022,D,10:30,101,INJURED,,,,,,Flight,A
