Family,ID,Sex,Treatment,Weight,Size,Eclosion,LastObserved,Death/Removal,Censored,Notes,Lifespan,1st.Trial,1st.Chamber,1st.StartTime,1st.Session,1st.Comments,2nd.Trial,2nd.Chamber,2nd.StartTime,2nd.Session,2nd.Comments,3rd.Trial,3rd.Chamber,3rd.StartTime,3rd.Session,3rd.Comments,Activity,Block
xAK,8,F,A,,4.146666667,25/03/2022,08/06/2022,11/06/2022,1,,78,06/04/2022,E,09:40,49,,24/05/2022,F,13:00,134,,,,,,,Flight,F
xAJ,6,F,A,,4.146666667,25/03/2022,08/06/2022,11/06/2022,1,,78,05/04/2022,F,14:25,48,,24/05/2022,A,13:00,134,,,,,,,Flight,F
xAJ,4,M,A,,3.733333333,25/03/2022,08/06/2022,11/06/2022,1,,78,05/04/2022,C,14:25,48,,,,,,,,,,,,Flight,F
xAH,1,M,A,,3.796666667,25/03/2022,08/06/2022,11/06/2022,1,,78,05/04/2022,A,11:55,46b,,26/05/2022,E,09:43,135,,,,,,,Flight,F
xAK,1,M,A,,3.72,25/03/2022,08/06/2022,11/06/2022,1,,78,05/04/2022,E,11:55,46b,,24/05/2022,G,13:00,134,,,,,,,Flight,F
xZ,1,F,B,,5.053333333,15/03/2022,28/05/2022,01/06/2022,1,,78,03/04/2022,E,10:16,46,,17/05/2022,E,,129,SHORT,,,,,,Flight,E
xAC,3,M,B,,5.296666667,15/03/2022,28/05/2022,01/06/2022,1,,78,02/04/2022,F,09:30,44,,14/05/2022,B,14:20,128,,,,,,,Flight,E
xV,4,M,A,,4.596666667,15/03/2022,28/05/2022,01/06/2022,1,,78,27/03/2022,G,08:44,35,,18/05/2022,F,09:01,130,,,,,,,Flight,E
xX,2,F,B,,5.173333333,15/03/2022,28/05/2022,01/06/2022,1,,78,26/03/2022,G,09:02,33,,14/05/2022,A,14:20,128,,,,,,,Flight,E
xAE,16,F,A,,4.87,15/03/2022,28/05/2022,01/06/2022,1,,78,,,,,,,,,,,,,,,,Waiting,E
xBE,13,M,A,,4.106666667,03/06/2022,16/08/2022,20/08/2022,1,,78,,,,,,,,,,,,,,,,Waiting,G
xAK,7,M,A,,4.003333333,25/03/2022,08/06/2022,11/06/2022,1,,78,,,,,,,,,,,,,,,,Waiting,F
xAI,6,M,A,,3.993333333,25/03/2022,08/06/2022,11/06/2022,1,,78,,,,,,,,,,,,,,,,Waiting,F
xT,5,M,B,,5.25,09/03/2022,21/05/2022,25/05/2022,1,,77,22/03/2022,A,13:25,26,,10/05/2022,G,11:12,122,,,,,,,Flight,D
xT,2,F,B,,5.296666667,09/03/2022,21/05/2022,25/05/2022,1,,77,20/03/2022,E,12:56,23,,12/05/2022,A,09:29,125,,,,,,,Flight,D
xS,5,M,A,,3.726666667,09/03/2022,21/05/2022,25/05/2022,1,,77,,,,,,,,,,,,,,,,Waiting,D
xAK,13,M,B,,5.243333333,27/03/2022,08/06/2022,11/06/2022,1,,76,06/04/2022,F,09:40,49,,27/05/2022,E,12:44,136,,,,,,,Flight,F
xAB,7,M,B,,5.413333333,17/03/2022,28/05/2022,01/06/2022,1,,76,01/04/2022,G,08:50,42,,20/05/2022,E,12:53,132,,,,,,,Flight,E
xN,12,M,A,0.1458,4.423333333,06/03/2022,17/05/2022,21/05/2022,1,,76,24/03/2022,E,14:16,30,,05/05/2022,D,12:47,116,,,,,,,Flight,C
xP,3,F,B,0.1164,4.006666667,06/03/2022,17/05/2022,21/05/2022,1,,76,22/03/2022,G,13:25,26,,06/05/2022,D,14:25,118,,,,,,,Flight,C
xAX,3,F,A,,4.33,02/06/2022,13/08/2022,16/08/2022,1,,75,20/06/2022,E,10:00,63,,02/08/2022,E,09:50,150,,,,,,,Flight,G
xBI,6,F,A,,4.56,02/06/2022,13/08/2022,16/08/2022,1,,75,19/06/2022,C,14:45,62,,03/08/2022,C,12:53,153,,,,,,,Flight,G
xAI,4,M,A,,4.186666667,25/03/2022,04/06/2022,08/06/2022,1,,75,07/04/2022,F,09:43,50,,29/05/2022,F,10:44,138,,,,,,,Flight,F
xF,1,M,A,0.0827,4.093333333,28/02/2022,10/05/2022,14/05/2022,1,,75,18/03/2022,G,14:10,19,,01/05/2022,C,15:10,111,,,,,,,Flight,B
xF,2,F,A,0.069,3.79,28/02/2022,10/05/2022,14/05/2022,1,,75,18/03/2022,F,14:10,19,,29/04/2022,G,10:03,106,,,,,,,Flight,B
D1AD,17,M,B,0.2091,5.553333333,21/02/2022,04/05/2022,07/05/2022,1,,75,12/03/2022,B,13:15,11,SHORT,26/04/2022,D,10:00,104,,,,,,,Flight,A
xH,6,F,B,0.1514,5.043333333,28/02/2022,10/05/2022,14/05/2022,1,,75,12/03/2022,G,13:15,11,SHORT,04/05/2022,G,09:47,114,,,,,,,Flight,B
xBI,5,M,A,,4.496666667,02/06/2022,13/08/2022,16/08/2022,1,,75,,,,,,,,,,,,,,,,Waiting,G
xBG,4,F,A,,3.99,02/06/2022,13/08/2022,16/08/2022,1,,75,,,,,,,,,,,,,,,,Waiting,G
xBG,11,F,B,,5.293333333,03/06/2022,13/08/2022,16/08/2022,1,,74,22/06/2022,C,12:11,68,,02/08/2022,A,14:32,151,,,,,,,Flight,G
xBJ,4,M,A,,4.726666667,03/06/2022,13/08/2022,16/08/2022,1,,74,19/06/2022,G,14:45,62,,03/08/2022,D,12:53,153,,,,,,,Flight,G
xAC,14,M,A,,4.916666667,15/03/2022,24/05/2022,28/05/2022,1,,74,01/04/2022,A,08:50,42,,17/05/2022,D,,129,SHORT,,,,,,Flight,E
xAF,4,M,A,,4.826666667,15/03/2022,24/05/2022,28/05/2022,1,,74,30/03/2022,E,08:50,37b,,17/05/2022,G,,129,SHORT,,,,,,Flight,E
xBH,14,M,B,,5.47,03/06/2022,13/08/2022,16/08/2022,1,,74,,,,,,,,,,,,,,,,Waiting,G
xAZ,3,F,B,,5.363333333,03/06/2022,13/08/2022,16/08/2022,1,,74,,,,,,,,,,,,,,,,Waiting,G
xAE,12,F,A,,4.93,15/03/2022,24/05/2022,28/05/2022,1,,74,,,,,,,,,,,,,,,,Waiting,E
xR,7,F,A,,4.78,09/03/2022,17/05/2022,21/05/2022,1,,73,29/03/2022,C,14:15,37,,10/05/2022,D,15:50,123,,,,,,,Flight,D
xR,3,F,B,,5.25,09/03/2022,17/05/2022,21/05/2022,1,,73,23/03/2022,A,13:25,28,STUCK,08/05/2022,F,13:00,121,,,,,,,Flight,D
xR,4,F,B,,5.243333333,09/03/2022,17/05/2022,21/05/2022,1,,73,23/03/2022,C,13:25,28,,08/05/2022,G,13:00,121,,,,,,,Flight,D
xAG,10,M,B,,5.743333333,27/03/2022,04/06/2022,08/06/2022,1,,73,,,,,,,,,,,,,,,,Waiting,F
xS,12,F,B,,4.69,09/03/2022,17/05/2022,21/05/2022,1,,73,,,,,,,,,,,,,,,,Waiting,D
xQ,1,M,B,,4.31,09/03/2022,17/05/2022,21/05/2022,1,,73,,,,,,,,,,,,,,,,Waiting,D
xS,4,F,A,,4.186666667,09/03/2022,17/05/2022,21/05/2022,1,,73,,,,,,,,,,,,,,,,Waiting,D
xBH,3,F,A,,3.8,02/06/2022,09/08/2022,13/08/2022,1,,72,19/06/2022,A,14:45,62,,06/08/2022,D,10:53,155,,,,,,,Flight,G
xBH,1,M,A,,3.84,02/06/2022,09/08/2022,13/08/2022,1,,72,18/06/2022,C,10:13,61,,02/08/2022,B,09:50,150,,,,,,,Flight,G
xBI,1,M,A,,3.686666667,02/06/2022,09/08/2022,13/08/2022,1,,72,17/06/2022,D,15:55,60,,10/08/2022,A,13:38,156,,,,,,,Flight,G
xAW,7,M,A,,4.503333333,02/06/2022,09/08/2022,13/08/2022,1,,72,17/06/2022,A,10:36,59,,03/08/2022,F,08:34,152,,,,,,,Flight,G
xBK,10,F,A,,5.116666667,02/06/2022,09/08/2022,13/08/2022,1,,72,14/06/2022,E,11:25,56,,02/08/2022,G,09:50,150,,,,,,,Flight,G
xBK,9,F,A,,4.85,02/06/2022,09/08/2022,13/08/2022,1,,72,14/06/2022,F,11:25,56,,02/08/2022,G,14:32,151,,,,,,,Flight,G
xW,5,M,B,,5.67,17/03/2022,24/05/2022,28/05/2022,1,,72,01/04/2022,A,13:30,43,,17/05/2022,C,,129,SHORT,,,,,,Flight,E
xL,9,F,A,0.0841,4.16,06/03/2022,14/05/2022,17/05/2022,1,,72,25/03/2022,A,10:20,31,,07/05/2022,F,13:24,120,,,,,,,Flight,C
xB,8,F,B,0.2279,5.483333333,28/02/2022,07/05/2022,11/05/2022,1,,72,18/03/2022,C,14:10,19,,04/05/2022,A,15:47,115,,,,,,,Flight,B
xC,11,M,B,0.2342,5.533333333,28/02/2022,07/05/2022,11/05/2022,1,,72,11/03/2022,D,09:12,8,,29/04/2022,F,14:37,107,,,,,,,Flight,B
xB,9,F,B,0.2505,5.523333333,28/02/2022,07/05/2022,11/05/2022,1,,72,11/03/2022,G,09:12,8,,30/04/2022,F,10:30,108,,,,,,,Flight,B
xC,1,M,A,0.1268,5.036666667,28/02/2022,07/05/2022,11/05/2022,1,,72,10/03/2022,D,14:05,7,,01/05/2022,B,10:09,110,,,,,,,Flight,B
D1AC,5,M,B,0.2046,5.596666667,21/02/2022,01/05/2022,04/05/2022,1,MALFORMED,72,,,,,,,,,,,,,,,,Waiting,A
xF,8,F,B,0.1583,4.943333333,28/02/2022,07/05/2022,11/05/2022,1,,72,,,,,,,,,,,,,,,,Waiting,B
xBG,1,M,A,,4.17,02/06/2022,09/08/2022,13/08/2022,1,,72,,,,,,,,,,,,,,,,Waiting,G
xBD,3,M,A,,4.156666667,02/06/2022,09/08/2022,13/08/2022,1,,72,,,,,,,,,,,,,,,,Waiting,G
xBC,5,M,A,,3.916666667,02/06/2022,09/08/2022,13/08/2022,1,,72,,,,,,,,,,,,,,,,Waiting,G
xBJ,5,F,A,,4.693333333,03/06/2022,09/08/2022,13/08/2022,1,,71,21/06/2022,F,11:49,65,,04/08/2022,E,08:30,154,,,,,,,Flight,G
xBI,12,F,B,,5.203333333,03/06/2022,09/08/2022,13/08/2022,1,,71,19/06/2022,B,14:45,62,,11/08/2022,F,10:03,157,,,,,,,Flight,G
xAZ,7,M,A,,4.366666667,03/06/2022,09/08/2022,13/08/2022,1,,71,17/06/2022,C,10:36,59,,03/08/2022,E,08:34,152,,,,,,,Flight,G
xBK,2,F,B,,4.12,03/06/2022,09/08/2022,13/08/2022,1,,71,14/06/2022,G,11:25,56,,06/08/2022,E,10:53,155,,,,,,,Flight,G
xBA,1,M,A,,3.77,02/06/2022,09/08/2022,12/08/2022,1,,71,12/06/2022,D,13:57,55,,,,,,,,,,,,Flight,G
xAI,2,M,A,,4.133333333,25/03/2022,01/06/2022,04/06/2022,1,,71,09/04/2022,G,12:50,53,,27/05/2022,G,12:44,136,,,,,,,Flight,F
xAC,1,M,B,,5.43,15/03/2022,21/05/2022,25/05/2022,1,,71,03/04/2022,G,10:16,46,,14/05/2022,D,08:50,127,,,,,,,Flight,E
xZ,2,F,B,,5.096666667,15/03/2022,21/05/2022,25/05/2022,1,,71,29/03/2022,B,09:30,36,,14/05/2022,A,08:50,127,,,,,,,Flight,E
xBB,6,M,B,,5.516666667,03/06/2022,09/08/2022,13/08/2022,1,,71,,,,,,,,,,,,,,,,Waiting,G
xAA,10,F,B,,5.26,15/03/2022,21/05/2022,25/05/2022,1,,71,,,,,,,,,,,,,,,,Waiting,E
xBJ,3,F,A,,4.306666667,03/06/2022,09/08/2022,13/08/2022,1,,71,,,,,,,,,,,,,,,,Waiting,G
xAG,6,F,A,,4.3,25/03/2022,01/06/2022,04/06/2022,1,,71,,,,,,,,,,,,,,,,Waiting,F
xAI,7,F,A,,4.006666667,25/03/2022,01/06/2022,04/06/2022,1,,71,,,,,,28/05/2022,D,10:24,137,,,,,,,Flight,F
xBE,1,M,B,,3.726666667,03/06/2022,09/08/2022,13/08/2022,1,,71,,,,,,,,,,,,,,,,Waiting,G
xBH,7,M,A,,4.03,02/06/2022,09/08/2022,11/08/2022,1,,70,17/06/2022,F,15:55,60,,,,,,,,,,,,Flight,G
xBJ,13,M,B,,4.986666667,03/06/2022,09/08/2022,12/08/2022,1,,70,14/06/2022,C,11:25,56,,,,,,,,,,,,Flight,G
xBF,1,F,A,,4.163333333,02/06/2022,09/08/2022,11/08/2022,1,,70,12/06/2022,F,13:57,55,,10/08/2022,G,13:38,156,,,,,,,Flight,G
D1AC,9,F,B,0.1955,5.513333333,21/02/2022,27/04/2022,01/05/2022,1,,69,10/03/2022,F,09:25,6B,,27/04/2022,A,12:00,105,,,,,,,Flight,A
xL,6,F,B,0.1791,4.933333333,06/03/2022,10/05/2022,14/05/2022,1,,69,25/03/2022,F,10:20,31,,06/05/2022,A,09:47,117,,,,,,,Flight,C
D1AC,12,F,B,0.2086,5.366666667,21/02/2022,27/04/2022,01/05/2022,1,,69,09/03/2022,A,13:25,6,,27/04/2022,B,12:00,105,,,,,,,Flight,A
xAI,12,F,B,,5.153333333,27/03/2022,01/06/2022,04/06/2022,1,,69,,,,,,,,,,,,,,,,Waiting,F
xQ,7,M,B,,4.563333333,09/03/2022,14/05/2022,17/05/2022,1,,69,,,,,,,,,,,,,,,,Waiting,D
xP,8,F,B,0.1328,4.263333333,06/03/2022,10/05/2022,14/05/2022,1,,69,,,,,,,,,,,,,,,,Waiting,C
xS,3,M,A,,4.116666667,09/03/2022,14/05/2022,17/05/2022,1,MALFORMED,69,,,,,,,,,,,,,,,,Waiting,D
xQ,15,M,A,,4.093333333,09/03/2022,14/05/2022,17/05/2022,1,,69,,,,,,,,,,,,,,,,Waiting,D
xQ,16,F,A,,3.563333333,09/03/2022,14/05/2022,17/05/2022,1,,69,,,,,,,,,,,,,,,,Waiting,D
xAX,9,M,A,,4.193333333,02/06/2022,06/08/2022,09/08/2022,1,,68,12/06/2022,G,09:20,54,,06/08/2022,A,10:53,155,,,,,,,Flight,G
xB,7,M,B,0.2249,5.51,28/02/2022,04/05/2022,07/05/2022,1,,68,18/03/2022,A,14:10,19,,04/05/2022,B,15:47,115,,,,,,,Flight,B
xD,4,F,B,0.2242,5.253333333,28/02/2022,04/05/2022,07/05/2022,1,,68,18/03/2022,C,09:12,18,,29/04/2022,C,14:37,107,,,,,,,Flight,B
xB,1,M,B,0.2961,6.233333333,28/02/2022,04/05/2022,07/05/2022,1,,68,17/03/2022,E,09:11,16,,29/04/2022,B,10:03,106,,,,,,,Flight,B
D1AE,7,F,A,0.1474,4.766666667,18/02/2022,24/04/2022,27/04/2022,1,,68,10/03/2022,E,14:05,7,,20/04/2022,A,10:30,101,INJURED,,,,,,Flight,A
xA,6,F,B,0.2396,5.46,28/02/2022,04/05/2022,07/05/2022,1,,68,,,,,,,,,,,,,,,,Waiting,B
D1AF,1,F,A,0.1038,4.416666667,18/02/2022,24/04/2022,27/04/2022,1,MALFORMED,68,,,,,,,,,,,,,,,,Waiting,A
xAI,8,M,A,,4.27,25/03/2022,28/05/2022,01/06/2022,1,,68,,,,,,,,,,,,,,,,Waiting,F
xBF,7,F,A,,4.106666667,02/06/2022,06/08/2022,09/08/2022,1,,68,,,,,,,,,,,,,,,,Waiting,G
xBC,2,F,A,,4.026666667,02/06/2022,06/08/2022,09/08/2022,1,,68,,,,,,,,,,,,,,,,Waiting,G
xBA,5,F,A,,3.85,02/06/2022,06/08/2022,09/08/2022,1,,68,,,,,,,,,,,,,,,,Waiting,G
xAK,5,M,A,,3.82,25/03/2022,28/05/2022,01/06/2022,1,,68,,,,,,,,,,,,,,,,Waiting,F
xBE,8,F,B,,5.066666667,03/06/2022,06/08/2022,09/08/2022,1,,67,20/06/2022,D,10:00,63,,02/08/2022,D,09:50,150,,,,,,,Flight,G
xAJ,3,F,A,,3.793333333,25/03/2022,28/05/2022,31/05/2022,1,,67,09/04/2022,E,12:50,53,,27/05/2022,B,12:44,136,,,,,,,Flight,F
xAH,3,F,A,,4.013333333,25/03/2022,28/05/2022,31/05/2022,1,,67,08/04/2022,F,09:40,51,,28/05/2022,F,10:24,137,,,,,,,Flight,F
xAF,2,M,A,,4.013333333,15/03/2022,17/05/2022,21/05/2022,1,,67,01/04/2022,C,13:30,43,,,,,,,,,,,,Flight,E
xAD,10,F,B,,5.416666667,15/03/2022,17/05/2022,21/05/2022,1,,67,31/03/2022,G,11:30,40,,14/05/2022,B,08:50,127,,,,,,,Flight,E
xAC,16,M,A,,5.073333333,15/03/2022,17/05/2022,21/05/2022,1,,67,30/03/2022,C,08:50,37b,,,,,,,,,,,,Flight,E
xAE,15,M,A,,4.98,15/03/2022,17/05/2022,21/05/2022,1,,67,30/03/2022,D,08:50,37b,,18/05/2022,G,09:01,130,,,,,,,Flight,E
xX,3,F,B,,5.183333333,15/03/2022,17/05/2022,21/05/2022,1,,67,26/03/2022,F,09:02,33,,18/05/2022,C,09:01,130,,,,,,,Flight,E
xV,1,F,A,,4.313333333,15/03/2022,17/05/2022,21/05/2022,1,,67,26/03/2022,D,09:02,33,,18/05/2022,E,09:01,130,,,,,,,Flight,E
xI,10,F,B,0.2396,5.503333333,06/03/2022,10/05/2022,12/05/2022,1,,67,23/03/2022,F,08:47,27,,,,,,,,,,,,Flight,C
xO,6,M,B,0.1155,4.75,06/03/2022,10/05/2022,12/05/2022,1,,67,20/03/2022,F,12:56,23,,,,,,,,,,,,Flight,C
xBG,13,M,B,,5.463333333,03/06/2022,06/08/2022,09/08/2022,1,,67,,,,,,,,,,,,,,,,Waiting,G
xAE,8,F,B,,5.376666667,15/03/2022,17/05/2022,21/05/2022,1,,67,,,,,,19/05/2022,G,09:33,131,,,,,,,Flight,E
xBB,10,M,B,,5.153333333,03/06/2022,06/08/2022,09/08/2022,1,,67,,,,,,,,,,,,,,,,Waiting,G
xW,4,F,A,,5.113333333,15/03/2022,17/05/2022,21/05/2022,1,,67,,,,,,,,,,,,,,,,Waiting,E
xV,3,F,A,,4.75,15/03/2022,17/05/2022,21/05/2022,1,,67,,,,,,,,,,,,,,,,Waiting,E
xAA,3,M,A,,3.94,15/03/2022,17/05/2022,20/05/2022,1,,66,30/03/2022,G,08:50,37b,,,,,,,,,,,,Flight,E
xO,3,F,A,0.0928,4.2,06/03/2022,07/05/2022,11/05/2022,1,,66,24/03/2022,B,09:15,29,,07/05/2022,D,08:37,119,,,,,,,Flight,C
xP,6,F,B,0.1369,4.333333333,06/03/2022,07/05/2022,11/05/2022,1,,66,23/03/2022,B,13:25,28,,10/05/2022,C,11:12,122,,,,,,,Flight,C
xAK,9,M,B,,5.603333333,27/03/2022,28/05/2022,01/06/2022,1,,66,,,,,,,,,,,,,,,,Waiting,F
xAH,13,F,B,,5.143333333,27/03/2022,28/05/2022,01/06/2022,1,,66,,,,,,,,,,,,,,,,Waiting,F
xS,11,M,B,,4.973333333,09/03/2022,10/05/2022,14/05/2022,1,,66,,,,,,,,,,,,,,,,Waiting,D
xS,6,M,A,,3.623333333,09/03/2022,10/05/2022,14/05/2022,1,MALFORMED,66,,,,,,,,,,,,,,,,Waiting,D
D1AD,3,M,A,0.0732,3.77,18/02/2022,20/04/2022,24/04/2022,1,,65,10/03/2022,G,09:25,6B,,20/04/2022,F,10:30,101,,,,,,,Flight,A
xBG,2,F,A,,4.433333333,02/06/2022,02/08/2022,06/08/2022,1,,65,21/06/2022,D,11:49,65,,04/08/2022,B,08:30,154,,,,,,,Flight,G
xBG,8,F,A,,4.306666667,02/06/2022,02/08/2022,06/08/2022,1,,65,21/06/2022,E,11:49,65,,03/08/2022,D,08:34,152,,,,,,,Flight,G
xBF,9,F,A,,4.226666667,02/06/2022,02/08/2022,06/08/2022,1,,65,21/06/2022,C,07:25,64,,,,,,,,,,,,Flight,G
xBA,2,F,A,,3.663333333,02/06/2022,02/08/2022,06/08/2022,1,,65,21/06/2022,E,07:25,64,,,,,,,,,,,,Flight,G
xBI,4,F,A,,4.41,02/06/2022,02/08/2022,06/08/2022,1,,65,17/06/2022,C,15:55,60,,03/08/2022,G,12:53,153,,,,,,,Flight,G
xAW,11,M,A,,4.273333333,02/06/2022,02/08/2022,06/08/2022,1,,65,12/06/2022,F,09:20,54,,,,,,,,,,,,Flight,G
xAG,13,F,B,,5.556666667,27/03/2022,28/05/2022,31/05/2022,1,,65,09/04/2022,C,12:50,53,,28/05/2022,B,10:24,137,,,,,,,Flight,F
xAH,17,F,B,,5.186666667,27/03/2022,28/05/2022,31/05/2022,1,,65,05/04/2022,B,14:25,48,,,,,,,,,,,,Flight,F
xAJ,9,M,B,,5.776666667,27/03/2022,28/05/2022,31/05/2022,1,,65,05/04/2022,B,11:55,46b,,,,,,,,,,,,Flight,F
xL,7,M,A,0.0837,4.143333333,06/03/2022,07/05/2022,10/05/2022,0,,65,25/03/2022,G,10:20,31,,10/05/2022,F,11:12,122,ESCAPED AFTER,,,,,,Flight,C
xN,5,M,B,0.2424,5.476666667,06/03/2022,07/05/2022,10/05/2022,1,,65,24/03/2022,C,14:16,30,,,,,,,,,,,,Flight,C
xG,1,M,B,0.2332,5.43,28/02/2022,01/05/2022,04/05/2022,1,,65,20/03/2022,B,08:38,22,,30/04/2022,E,10:30,108,,,,,,,Flight,B
xD,13,M,A,0.1047,4.466666667,28/02/2022,01/05/2022,04/05/2022,1,,65,15/03/2022,F,14:00,14,,03/05/2022,E,15:22,113,,,,,,,Flight,B
D1AE,14,F,B,0.2617,5.65,21/02/2022,24/04/2022,27/04/2022,1,,65,13/03/2022,C,09:48,12,,23/04/2022,B,11:47,102,,,,,,,Flight,A
xH,7,M,B,0.1585,5.173333333,28/02/2022,01/05/2022,04/05/2022,1,,65,12/03/2022,F,13:15,11,SHORT,,,,,,,,,,,Flight,B
D1AB,6,M,B,0.1994,4.94,21/02/2022,24/04/2022,27/04/2022,1,,65,12/03/2022,F,08:38,10,,27/04/2022,F,12:00,105,INJURED - WINGS EXTENDED,,,,,,Flight,A
D1AD,11,F,B,0.2082,5.623333333,21/02/2022,24/04/2022,27/04/2022,1,,65,11/03/2022,B,14:30,9,,24/04/2022,E,11:20,103,,,,,,,Flight,A
D1AC,11,F,B,0.1665,5.203333333,21/02/2022,24/04/2022,27/04/2022,1,,65,11/03/2022,C,09:12,8,,,,,,,,,,,,Flight,A
D1AB,8,F,B,0.1856,5.36,21/02/2022,24/04/2022,27/04/2022,1,,65,05/03/2022,E,16:40,2,,,,,,,,,,,,Flight,A
D1AB,9,M,B,0.2054,5.343333333,21/02/2022,24/04/2022,27/04/2022,1,,65,05/03/2022,B,16:40,2,,24/04/2022,C,11:20,103,,,,,,,Flight,A
D1AB,10,F,B,0.2345,5.406666667,21/02/2022,24/04/2022,27/04/2022,1,,65,05/03/2022,D,12:15,1,,24/04/2022,D,11:20,103,,,,,,,Flight,A
xD,1,M,B,0.1865,5.333333333,28/02/2022,01/05/2022,04/05/2022,1,,65,,,,,,,,,,,,,,,,Waiting,B
xBK,13,F,A,,5.176666667,02/06/2022,02/08/2022,06/08/2022,1,,65,,,,,,,,,,,,,,,,Waiting,G
xBF,4,M,A,,4.37,02/06/2022,02/08/2022,06/08/2022,1,,65,,,,,,,,,,,,,,,,Waiting,G
xBG,5,M,A,,4.286666667,02/06/2022,02/08/2022,06/08/2022,1,,65,,,,,,,,,,,,,,,,Waiting,G
xBH,6,F,A,,4.243333333,02/06/2022,02/08/2022,06/08/2022,1,,65,,,,,,,,,,,,,,,,Waiting,G
xBI,2,F,A,,4.23,02/06/2022,02/08/2022,06/08/2022,1,,65,,,,,,,,,,,,,,,,Waiting,G
xBH,5,M,A,,4.213333333,02/06/2022,02/08/2022,06/08/2022,1,,65,,,,,,,,,,,,,,,,Waiting,G
xAX,6,F,A,,4.146666667,02/06/2022,02/08/2022,06/08/2022,1,,65,,,,,,,,,,,,,,,,Waiting,G
xBH,8,M,A,,4.106666667,02/06/2022,02/08/2022,06/08/2022,1,,65,,,,,,,,,,,,,,,,Waiting,G
xD,9,M,A,0.0693,3.876666667,28/02/2022,01/05/2022,04/05/2022,1,,65,,,,,,,,,,,,,,,,Waiting,B
xBI,9,M,B,,5.396666667,03/06/2022,02/08/2022,06/08/2022,1,,64,22/06/2022,F,16:55,69,,03/08/2022,E,12:53,153,,,,,,,Flight,G
xBG,9,M,B,,5.65,03/06/2022,02/08/2022,06/08/2022,1,,64,22/06/2022,A,12:11,68,,02/08/2022,C,09:50,150,,,,,,,Flight,G
xBD,8,M,B,,5.076666667,03/06/2022,02/08/2022,06/08/2022,1,,64,22/06/2022,F,12:11,68,,04/08/2022,D,08:30,154,,,,,,,Flight,G
xBE,10,F,A,,4.95,03/06/2022,02/08/2022,06/08/2022,1,,64,21/06/2022,A,16:25,66,,,,,,,,,,,,Flight,G
xBJ,11,M,B,,5.193333333,03/06/2022,02/08/2022,06/08/2022,1,,64,19/06/2022,F,14:45,62,,03/08/2022,B,08:34,152,,,,,,,Flight,G
xBJ,2,F,A,,4.26,03/06/2022,02/08/2022,06/08/2022,1,,64,14/06/2022,A,11:25,56,,03/08/2022,G,08:34,152,,,,,,,Flight,G
xAG,5,M,A,,4.16,25/03/2022,24/05/2022,28/05/2022,1,,64,08/04/2022,F,14:28,52,,28/05/2022,A,10:24,137,,,,,,,Flight,F
xC,3,M,A,0.1277,4.85,28/02/2022,01/05/2022,03/05/2022,1,,64,19/03/2022,D,13:50,21,,,,,,,,,,,,Flight,B
xE,6,F,B,0.2448,5.666666667,28/02/2022,01/05/2022,03/05/2022,1,,64,16/03/2022,F,10:11,15,,,,,,,,,,,,Flight,B
D1AD,13,F,B,0.2369,5.576666667,21/02/2022,24/04/2022,26/04/2022,1,,64,11/03/2022,D,14:30,9,,26/04/2022,E,10:00,104,,,,,,,Flight,A
D1AD,14,M,B,0.2012,5.29,21/02/2022,24/04/2022,26/04/2022,1,,64,11/03/2022,A,14:30,9,,,,,,,,,,,,Flight,A
xAX,19,M,B,,5.526666667,03/06/2022,02/08/2022,06/08/2022,1,,64,,,,,,,,,,,,,,,,Waiting,G
xBC,10,F,B,,5.463333333,03/06/2022,02/08/2022,06/08/2022,1,,64,,,,,,,,,,,,,,,,Waiting,G
xBI,18,F,B,,5.183333333,03/06/2022,02/08/2022,06/08/2022,1,,64,,,,,,,,,,,,,,,,Waiting,G
xBD,9,F,B,,4.95,03/06/2022,02/08/2022,06/08/2022,1,,64,,,,,,,,,,,,,,,,Waiting,G
xAY,2,M,A,,4.203333333,03/06/2022,02/08/2022,06/08/2022,1,,64,,,,,,,,,,,,,,,,Waiting,G
xAI,1,F,A,,4.243333333,25/03/2022,24/05/2022,27/05/2022,1,,63,09/04/2022,A,12:50,53,,,,,,,,,,,,Flight,F
xX,7,F,A,,5.216666667,15/03/2022,14/05/2022,17/05/2022,1,,63,02/04/2022,A,14:05,45,,,,,,,,,,,,Flight,E
xAC,11,F,A,,4.723333333,15/03/2022,14/05/2022,17/05/2022,1,,63,02/04/2022,D,09:30,44,,,,,,,,,,,,Flight,E
xAA,8,F,B,,5.406666667,15/03/2022,14/05/2022,17/05/2022,1,,63,30/03/2022,E,13:21,39,SHORT,14/05/2022,G,14:20,128,,,,,,,Flight,E
xP,5,F,B,0.2208,5.096666667,06/03/2022,07/05/2022,08/05/2022,1,,63,23/03/2022,E,13:25,28,,08/05/2022,A,13:00,121,DEAD,,,,,,Flight,C
xAF,5,F,A,,4.72,15/03/2022,14/05/2022,17/05/2022,1,,63,,,,,,,,,,,,,,,,Waiting,E
D1AF,6,F,B,0.1736,5.203333333,21/02/2022,20/04/2022,24/04/2022,1,,62,10/03/2022,C,09:25,6B,,24/04/2022,G,11:20,103,DEAD,,,,,,Flight,A
D1AC,10,F,B,0.1575,5.033333333,21/02/2022,20/04/2022,24/04/2022,1,,62,10/03/2022,E,09:25,6B,,,,,,,,,,,,Flight,A
