"Family","ID","Sex","oTreatment","oActivity","Size","Censored","Lifespan","Treatment","Activity","Block","group"
"xK","xK4","M","A","Waiting",4.25,1,90,"A","Waiting","C","impoverished"
"xM","xM6","F","A","Waiting",3.9,1,90,"A","Waiting","C","impoverished"
"xBC","xBC6","F","A","Flight",4.116666667,1,89,"A","Flight","G","impoverished"
"xBG","xBG3","M","A","Flight",4.003333333,1,89,"A","Flight","G","impoverished"
"xAI","xAI3","F","A","Flight",4.073333333,1,89,"A","Flight","F","impoverished"
"xAK","xAK4","F","A","Flight",3.91,1,89,"A","Flight","F","impoverished"
"xD","xD12","F","A","Flight",4.23,1,89,"A","Flight","B","impoverished"
"xAF","xAF1","F","A","Flight",4.866666667,1,88,"A","Flight","E","impoverished"
"xP","xP7","F","B","Flight",4.196666667,1,87,"B","Flight","C","enhanced"
"xJ","xJ3","F","A","Flight",4.44,1,87,"A","Flight","C","impoverished"
"xL","xL8","F","A","Flight",4.096666667,1,87,"A","Flight","C","impoverished"
"xI","xI1","M","A","Flight",4.583333333,1,87,"A","Flight","C","impoverished"
"xM","xM8","F","B","Waiting",5.223333333,1,87,"B","Waiting","C","enhanced"
"xS","xS10","F","B","Waiting",5.186666667,1,87,"B","Waiting","D","enhanced"
"xS","xS9","M","B","Waiting",4.633333333,1,87,"B","Waiting","D","enhanced"
"xS","xS7","M","B","Waiting",4.203333333,1,87,"B","Waiting","D","enhanced"
"xP","xP1","F","B","Waiting",4.13,1,87,"B","Waiting","C","enhanced"
"xS","xS14","M","B","Waiting",4.123333333,1,87,"B","Waiting","D","enhanced"
"xP","xP12","M","A","Waiting",3.416666667,1,87,"A","Waiting","C","impoverished"
"xAX","xAX8","M","A","Flight",4.196666667,1,86,"A","Flight","G","impoverished"
"xAW","xAW1","M","B","Flight",5.256666667,1,86,"B","Flight","G","enhanced"
"xAH","xAH2","F","A","Flight",4.216666667,1,86,"A","Flight","F","impoverished"
"xAK","xAK3","M","A","Flight",3.703333333,1,86,"A","Flight","F","impoverished"
"xE","xE3","F","B","Flight",5.683333333,1,86,"B","Flight","B","enhanced"
"xH","xH3","M","A","Flight",4.18,1,86,"A","Flight","B","impoverished"
"xD","xD8","F","B","Flight",5.54,1,86,"B","Flight","B","enhanced"
"xE","xE10","F","A","Flight",4.7,1,86,"A","Flight","B","impoverished"
"xH","xH11","M","B","Flight",4.993333333,1,86,"B","Flight","B","enhanced"
"xAH","xAH9","F","A","Waiting",4.383333333,1,86,"A","Waiting","F","impoverished"
"xAG","xAG8","F","A","Waiting",4.243333333,1,86,"A","Waiting","F","impoverished"
"xBF","xBF6","M","A","Waiting",3.24,1,86,"A","Waiting","G","impoverished"
"xBK","xBK7","M","B","Flight",3.563333333,1,85,"B","Flight","G","enhanced"
"xAY","xAY1","M","A","Flight",4.273333333,1,85,"A","Flight","G","impoverished"
"xAD","xAD1","M","A","Flight",4.193333333,1,85,"A","Flight","E","impoverished"
"xZ","xZ5","M","A","Flight",4.393333333,1,85,"A","Flight","E","impoverished"
"xBJ","xBJ6","F","A","Waiting",4.183333333,1,85,"A","Waiting","G","impoverished"
"xAG","xAG11","F","B","Waiting",5.663333333,1,84,"B","Waiting","F","enhanced"
"xAJ","xAJ14","F","B","Waiting",5.623333333,1,84,"B","Waiting","F","enhanced"
"xAI","xAI13","M","B","Waiting",5.44,1,84,"B","Waiting","F","enhanced"
"xAI","xAI19","M","B","Waiting",5.303333333,1,84,"B","Waiting","F","enhanced"
"xAH","xAH12","M","B","Waiting",4.94,1,84,"B","Waiting","F","enhanced"
"xAK","xAK11","M","B","Waiting",4.59,1,84,"B","Waiting","F","enhanced"
"xBD","xBD1","M","A","Flight",4.1,1,83,"A","Flight","G","impoverished"
