Session,Channel,total_distance,total_duration,total_avg_speed,total_peak_speed,marathon_flights,long_flights,medium_flights,short_flights,skip_flights,trial_length
222,B,4577.76,4048.508487,1.13072753,2.232822616,0,0,2,0,1,14399.05347
222,C,1693.12,1830.899753,0.924747517,1.56131889,0,0,1,0,0,14399.05347
222,D,227.92,414.1290431,0.550359855,1.251000709,0,0,0,3,1,14399.05347
222,E,0,0,NA,#NAME?,0,0,0,0,0,14399.05347
222,F,0,0,NA,#NAME?,0,0,0,0,0,14399.05347
222,G,0,0,NA,#NAME?,0,0,0,0,0,14399.05347
37b,A,1459.04,1406.118248,1.037636772,2.255536821,0,0,1,1,8,14399.98255
37b,B,18105.12,14364.08914,1.260443306,2.089944068,1,0,0,2,0,14399.98255
37b,C,872.96,1273.852341,0.685291357,1.983630836,0,0,1,3,13,14399.98255
37b,D,1695.76,4176.947116,0.405980721,1.825915382,0,0,1,17,9,14399.98255
37b,E,16679.52,13814.69262,1.207375398,2.003123559,1,0,0,1,1,14399.98255
37b,F,10156.96,14071.60217,0.721805511,2.099923661,0,1,4,3,0,14399.98255
37b,G,7046.16,9463.713449,0.744544944,1.616821094,0,0,2,32,13,14399.98255
46b,A,721.6,1377.102527,0.523998748,1.236531616,0,0,0,5,17,14399.99504
46b,B,243.76,410.1200068,0.594362616,1.365751138,0,0,0,2,2,14399.99504
46b,C,344.08,817.1741786,0.421060784,0.852986844,0,0,0,5,8,14399.99504
46b,D,90.64,118.2912107,0.766244588,1.925870947,0,0,0,0,7,14399.99504
46b,E,0,0,NA,#NAME?,0,0,0,0,0,14399.99504
46b,F,4686,10586.7458,0.442628933,1.128930171,1,0,1,2,10,14399.99504
46b,G,5908.32,13147.49883,0.449387376,0.949010265,1,0,3,1,0,14399.99504
6b,A,278.96,783.879523,0.355871013,1.406779672,0,0,0,4,14,10005.31306
6b,B,1483.68,2387.47454,0.621443276,1.317560459,0,0,1,6,5,10005.31306
6b,C,0,0,NA,#NAME?,0,0,0,0,0,10005.31306
6b,D,0,0,NA,#NAME?,0,0,0,0,0,10005.31306
6b,E,1682.56,4136.346224,0.40677446,2.143409455,0,0,0,19,55,10005.31306
6b,F,3283.28,6952.035049,0.4722761,1.598479867,0,0,3,17,16,10005.31306
6b,G,0,0,NA,#NAME?,0,0,0,0,0,10005.31306
